fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,Id
6,1,0,2,0,15,64,1,3,1,9,5,107
8,1,0,2,0,12,47,1,3,1,10,5,110
8,1,0,2,0,11,108,1,3,1,10,5,111
10,0,0,2,0,22,46,1,3,1,10,6,113
8,1,0,2,0,12,47,1,3,1,10,5,114
9,0,0,2,0,13,62,1,3,1,11,6,115
8,1,0,2,0,11,40,1,3,1,10,6,116
7,1,0,2,0,10,89,1,3,1,9,5,120
9,1,0,2,0,14,56,1,3,1,11,6,121
7,1,0,3,0,3,13,1,3,1,9,5,122
8,1,0,2,0,21,102,1,3,0,10,5,124
8,1,0,2,0,3,12,1,4,0,11,5,126
8,1,0,2,0,3,12,1,4,0,11,5,127
8,1,0,2,0,3,16,1,3,1,11,7,128
8,1,1,2,0,30,134,1,3,1,9,5,130
6,1,0,2,0,17,99,1,4,1,13,5,131
8,1,0,2,0,13,29,1,3,1,10,6,134
8,1,0,2,0,16,63,1,3,1,10,5,135
7,0,0,2,0,13,45,1,3,1,9,5,137
8,1,0,2,0,16,63,1,3,1,10,5,140
5,0,0,2,0,27,63,1,4,1,14,6,142
6,0,0,2,0,3,20,1,3,1,9,5,143
5,0,0,2,0,27,63,1,4,1,14,6,144
8,1,1,2,0,32,141,1,3,1,9,5,145
6,1,0,2,0,21,94,1,4,1,10,5,146
7,0,0,2,0,12,30,1,3,1,10,6,148
7,0,0,2,0,5,11,1,3,1,10,6,150
9,1,1,3,1,32,69,1,3,2,9,4,151
8,1,0,2,0,25,99,1,3,1,10,5,152
8,1,0,2,0,25,99,1,3,1,10,5,153
7,0,0,6,0,28,128,1,3,1,11,5,155
7,0,0,6,0,29,129,1,3,1,11,5,156
7,0,0,6,0,28,128,1,3,1,11,5,157
7,1,0,2,0,12,22,1,3,1,9,5,158
7,1,0,2,0,18,86,1,4,1,9,6,159
8,1,0,2,0,7,20,1,3,1,10,5,160
8,1,0,1,0,9,20,1,3,1,9,4,161
8,1,0,2,0,17,31,1,3,1,10,6,162
7,1,0,7,0,36,121,1,3,0,9,5,163
7,1,0,7,0,35,121,1,3,0,9,5,164
8,1,0,2,0,14,96,1,3,1,10,5,165
7,1,0,2,0,18,101,1,3,1,10,5,166
7,1,0,2,0,17,42,1,3,0,9,4,167
7,1,0,2,0,11,44,1,3,1,10,6,168
8,1,0,2,0,4,8,1,3,0,9,4,170
8,0,0,2,0,6,18,1,3,1,9,6,172
7,1,0,2,0,24,42,1,3,1,12,6,173
7,1,0,2,0,19,49,1,3,1,10,5,175
7,0,0,2,0,7,35,1,3,0,10,5,176
8,1,0,2,0,8,38,1,4,1,11,6,177
7,1,0,3,0,7,20,1,3,1,10,5,178
9,1,0,2,0,10,42,1,3,1,10,5,179
9,1,0,2,0,10,42,1,3,1,10,5,180
9,1,0,2,0,23,110,1,3,1,9,5,181
7,1,0,3,0,16,42,1,3,1,9,5,182
7,1,0,2,0,11,65,1,4,1,9,5,183
7,1,0,2,0,8,62,1,4,1,9,6,184
9,0,1,2,0,26,85,1,3,1,10,5,185
7,0,0,2,0,14,67,1,3,1,9,5,186
8,1,0,2,0,15,143,1,3,1,10,5,188
8,1,0,3,0,21,127,1,3,1,9,5,190
6,0,0,2,0,21,49,1,4,1,10,6,191
8,1,0,2,0,7,28,1,3,1,10,5,193
8,1,0,2,0,7,28,1,3,1,10,5,194
7,1,0,2,0,15,55,1,3,1,10,5,196
12,0,1,2,0,12,27,1,3,1,10,6,197
7,1,0,2,0,12,31,1,4,0,11,4,199
10,0,0,1,0,9,24,1,3,1,10,7,200
7,0,0,2,0,14,37,1,3,1,9,6,204
13,0,1,3,0,9,28,1,3,1,11,7,205
13,0,1,3,0,9,28,1,3,1,11,7,206
8,0,0,3,0,18,95,1,3,1,9,5,208
10,1,1,2,0,5,19,1,3,1,12,6,210
8,1,0,3,0,10,62,1,3,1,10,6,211
8,1,0,2,0,28,65,1,3,0,10,5,213
8,1,0,2,0,10,41,1,3,1,10,6,214
7,0,0,6,0,26,121,1,3,1,11,5,215
9,1,0,2,0,13,49,1,3,1,11,5,216
8,1,0,2,0,11,41,1,3,1,9,5,217
8,0,0,2,0,10,44,1,3,1,10,5,218
8,0,0,2,0,24,58,1,3,1,9,6,220
7,1,0,2,0,16,72,1,3,1,9,5,221
7,1,0,2,0,5,10,1,3,1,10,5,222
9,1,0,2,0,8,28,1,3,1,10,6,223
8,0,0,3,0,29,63,1,3,1,11,6,225
9,1,1,2,0,27,81,1,3,2,10,6,226
5,0,0,2,0,19,106,1,4,1,12,7,230
8,0,0,2,0,12,49,1,3,1,10,6,231
9,0,0,3,0,18,58,1,3,1,10,6,232
8,1,0,2,0,7,37,1,3,1,9,6,234
7,1,0,2,0,14,38,1,3,1,9,6,235
9,1,0,2,0,5,62,1,3,1,9,5,240
12,0,1,2,0,6,24,1,3,1,11,6,241
8,1,0,2,0,28,109,1,3,0,10,6,242
15,0,0,2,0,10,24,1,3,1,9,7,243
15,0,0,2,0,10,24,1,3,1,9,7,244
7,1,0,2,0,6,23,1,4,1,10,6,245
7,1,0,2,0,16,51,1,3,1,10,5,246
7,1,0,2,0,6,23,1,4,1,10,6,249
11,0,0,2,0,16,37,1,3,1,10,6,250
7,1,0,2,0,16,34,1,3,1,10,6,251
11,0,0,3,0,5,21,1,3,1,11,5,252
8,1,0,2,0,8,86,1,3,1,10,5,253
8,1,0,3,0,17,119,1,3,1,9,5,255
9,0,0,2,0,5,13,1,3,1,9,5,256
7,1,0,2,0,12,56,1,3,1,9,5,257
8,0,1,2,1,8,45,1,3,1,9,5,258
10,0,0,3,0,14,33,1,3,1,11,7,259
8,0,0,2,0,18,45,1,3,1,9,5,260
7,1,0,2,0,12,67,1,3,1,9,4,261
8,1,0,2,0,10,35,1,3,1,10,5,262
8,0,0,2,0,23,49,1,3,1,9,5,263
13,1,0,2,0,5,27,1,3,1,11,5,264
8,1,0,3,0,26,61,1,4,1,10,4,266
8,0,0,4,0,15,37,1,3,1,13,8,267
7,1,0,3,0,7,27,1,4,1,9,6,268
12,0,1,4,0,4,23,1,3,1,10,6,269
8,1,0,4,0,27,61,1,3,1,11,6,270
8,1,0,4,0,27,61,1,3,1,11,6,275
7,1,0,3,0,7,27,1,4,1,9,6,276
12,0,1,4,0,4,23,1,3,1,10,6,277
10,0,0,6,0,5,13,1,3,1,13,8,278
9,0,0,6,0,10,47,1,3,1,11,7,279
11,0,0,4,0,6,19,1,3,1,9,6,280
8,0,1,4,0,5,10,1,3,1,10,7,281
9,0,0,6,0,10,47,1,3,1,11,7,283
10,1,0,3,0,32,71,1,3,1,10,5,284
10,1,0,3,0,32,71,1,3,1,10,5,285
12,0,1,2,0,25,49,1,3,1,10,6,286
8,0,0,3,0,29,53,1,3,1,10,6,287
9,1,0,3,0,20,49,1,3,1,11,7,288
12,0,1,3,0,33,98,1,3,1,9,5,289
9,1,0,3,0,20,49,1,3,1,11,7,290
10,1,0,3,0,18,48,1,3,1,10,6,292
7,0,0,2,0,5,16,1,3,1,10,6,293
13,0,1,3,0,17,53,1,3,1,10,6,294
11,1,0,3,0,5,27,1,3,1,10,5,295
11,1,0,3,0,26,70,1,3,1,10,5,296
7,1,0,2,0,8,29,1,4,1,10,5,297
7,1,0,2,0,5,31,1,4,1,10,5,298
8,1,0,3,0,20,44,1,3,1,11,6,300
11,0,0,2,0,7,15,1,3,1,10,6,301
8,1,0,3,0,12,28,1,4,1,10,5,302
8,1,1,2,0,12,90,1,3,1,9,5,304
8,1,0,2,0,7,54,1,3,1,9,5,306
10,0,0,2,0,6,14,1,3,1,10,6,307
10,0,0,2,0,5,12,1,3,1,10,6,308
8,1,0,2,0,15,105,1,3,1,9,6,311
9,0,0,3,0,19,98,1,3,1,10,6,312
9,0,0,3,0,30,135,1,3,1,9,5,313
7,0,0,3,0,26,72,1,3,1,11,5,314
10,1,0,3,0,21,59,1,3,1,12,7,318
10,1,0,3,0,30,74,1,3,1,10,6,319
9,1,0,3,0,25,87,1,3,1,10,5,321
10,0,0,11,0,13,50,1,3,1,9,6,324
10,0,0,11,0,13,50,1,3,1,9,6,325
12,1,1,4,0,6,14,1,3,1,12,7,326
10,0,1,5,0,5,13,1,3,1,12,5,327
13,0,1,3,0,6,21,1,3,1,10,6,328
8,1,0,2,0,16,44,1,3,1,11,5,333
8,1,0,3,0,17,38,1,3,1,12,7,334
12,1,1,3,0,7,21,1,3,1,12,7,335
9,0,0,2,0,6,16,1,3,1,13,6,336
8,0,0,3,0,29,58,1,3,1,10,5,337
13,0,1,2,0,12,29,1,3,1,10,7,339
11,0,0,2,0,6,14,1,3,1,10,6,342
11,0,0,2,0,6,14,1,3,1,10,6,343
12,1,1,3,0,6,32,1,3,1,11,6,344
14,0,1,3,0,6,15,1,3,1,12,6,347
10,1,0,3,0,15,46,1,3,1,10,6,348
9,1,0,3,0,11,26,1,3,1,9,6,351
8,1,0,2,0,8,19,1,3,1,9,5,352
14,1,1,5,0,23,77,1,3,1,13,5,353
6,0,0,1,0,41,165,1,3,1,12,6,354
7,1,0,2,0,17,32,1,4,1,13,6,355
12,0,1,3,0,29,55,1,3,1,11,5,356
11,0,1,3,0,12,29,1,3,1,12,7,357
12,0,1,3,0,10,23,1,3,1,10,7,358
13,0,1,3,0,10,41,1,3,1,10,6,359
8,1,0,2,0,14,81,1,3,1,9,5,360
9,0,0,3,0,21,50,1,3,1,10,6,361
12,1,1,3,0,6,37,1,3,1,10,5,362
13,0,1,2,0,6,15,1,3,1,10,5,363
13,1,1,6,0,7,42,1,3,1,10,7,364
13,1,1,6,0,7,42,1,3,1,10,7,366
10,1,1,3,0,11,24,1,3,1,9,5,367
9,0,1,2,0,6,18,1,3,1,12,7,369
8,0,0,2,0,11,25,1,3,1,9,6,371
9,0,0,2,0,26,46,1,3,1,11,6,372
12,0,1,3,0,19,47,1,3,1,11,6,376
9,0,1,2,0,6,18,1,3,1,12,7,377
11,1,1,6,0,6,24,1,3,1,13,6,378
8,0,0,2,0,11,27,1,3,1,9,6,380
8,1,0,2,0,23,54,1,3,1,9,5,384
8,0,0,2,0,23,53,1,3,1,9,6,388
6,1,0,1,0,12,88,1,4,1,13,8,390
14,0,1,3,0,17,43,1,3,1,10,6,391
10,0,1,2,0,6,26,1,3,1,10,5,392
12,0,1,4,0,7,38,1,3,1,13,7,395
7,1,0,8,0,68,124,1,3,1,10,5,396
12,1,1,3,0,13,49,1,3,1,11,6,397
9,1,0,2,0,9,42,1,3,1,9,5,399
7,1,0,8,0,68,124,1,3,1,10,5,400
12,0,1,3,0,19,64,1,3,1,11,6,402
11,1,0,3,0,10,41,1,3,1,11,6,403
8,1,0,3,0,15,27,1,3,1,9,5,404
10,0,0,3,0,9,28,1,3,1,11,6,406
12,0,1,3,0,12,30,1,3,1,11,7,407
13,0,0,5,0,26,49,1,3,1,10,4,409
9,0,0,3,0,26,86,1,3,1,10,6,410
7,1,0,2,0,15,77,1,3,1,9,5,412
10,0,1,7,0,6,19,1,3,1,12,7,413
9,1,0,3,0,24,122,1,3,1,10,5,414
9,1,0,7,0,31,134,1,3,1,9,5,415
11,0,1,2,0,6,20,1,3,1,12,6,416
7,1,0,2,0,34,124,1,3,0,11,5,417
12,0,1,2,0,7,20,1,3,1,10,6,418
7,1,0,2,0,34,52,1,4,1,10,5,419
7,1,0,2,0,32,48,1,4,1,12,7,421
8,1,0,2,0,15,60,1,3,0,11,5,422
11,0,0,2,0,6,24,1,3,1,11,7,423
7,1,0,2,0,32,48,1,4,1,12,7,425
6,1,0,2,0,19,48,1,3,0,11,6,426
10,1,0,2,0,6,32,1,3,1,11,6,427
9,1,0,1,0,9,30,1,3,1,9,5,428
13,1,1,2,0,13,35,1,3,1,10,6,429
11,0,0,2,0,6,24,1,3,1,11,7,430
8,1,0,2,0,21,66,1,3,1,9,5,431
12,0,1,2,0,6,18,1,3,0,10,5,433
10,0,1,3,0,22,54,1,3,1,10,6,434
12,0,1,2,0,6,18,1,3,0,10,5,435
8,1,0,2,0,38,62,1,3,1,10,6,436
11,0,1,3,0,6,22,1,3,1,11,6,437
7,1,0,2,0,7,50,1,3,1,9,5,439
13,0,1,2,0,6,29,1,3,1,10,8,440
16,1,1,4,0,6,43,1,3,1,11,7,442
5,1,0,2,0,5,27,1,4,1,13,7,444
13,0,1,3,0,31,72,1,3,1,11,5,446
9,0,0,2,0,6,16,1,3,1,11,5,447
9,1,0,2,0,7,27,1,3,1,10,6,448
12,0,1,3,0,17,35,1,3,1,11,6,449
12,0,1,3,0,17,35,1,3,1,11,6,450
7,1,0,2,0,18,35,1,3,1,10,6,452
10,0,1,3,0,5,22,1,3,1,11,7,453
7,0,0,2,0,21,67,1,4,1,11,5,454
11,1,1,5,0,6,19,1,3,1,13,8,455
9,1,0,2,0,5,22,1,3,1,10,5,456
9,1,0,3,0,29,65,1,3,1,10,5,457
12,1,1,2,0,10,47,1,3,1,9,3,459
9,0,1,2,0,14,23,1,3,1,11,6,460
8,1,0,3,0,6,19,1,3,1,9,5,461
12,0,1,2,0,5,15,1,3,1,9,6,464
10,1,0,2,0,21,51,1,3,1,12,6,466
9,0,0,3,0,7,18,1,3,1,14,6,467
11,0,1,2,0,6,21,1,3,1,9,6,468
9,1,0,1,0,36,48,1,3,1,10,5,469
13,0,1,3,0,15,47,1,3,1,11,5,470
10,1,0,2,0,25,52,1,3,1,11,6,471
13,0,1,3,0,25,68,1,3,1,10,6,472
10,1,0,2,0,5,28,1,3,1,10,5,475
9,0,0,2,0,6,16,1,3,1,10,5,476
10,0,0,2,0,6,20,1,3,1,11,6,477
9,1,0,3,0,6,31,1,3,1,10,6,479
11,0,0,16,0,6,23,1,3,1,9,5,480
9,0,1,3,0,6,17,1,3,1,12,8,481
11,0,1,2,0,7,18,1,3,1,9,5,483
10,1,0,2,0,6,17,1,3,0,10,5,485
10,1,0,2,0,5,14,1,3,0,10,6,487
9,0,0,3,0,10,26,1,3,1,10,6,489
9,0,1,3,0,12,25,1,3,1,13,7,491
9,0,1,3,0,13,27,1,3,1,13,7,492
9,1,0,3,0,23,81,1,3,1,12,6,493
7,0,0,8,0,28,91,1,3,1,12,6,494
11,0,1,3,0,5,16,1,3,1,11,8,495
8,1,0,2,0,14,38,1,3,1,9,6,496
7,0,0,3,0,43,113,1,3,1,11,5,497
11,0,1,3,0,5,16,1,3,1,11,8,498
9,1,0,3,0,23,81,1,3,1,12,6,499
8,1,0,2,0,14,38,1,3,1,9,6,500
10,0,1,7,0,38,76,1,3,1,12,7,501
10,0,1,7,0,38,76,1,3,1,12,7,502
11,0,0,2,0,6,22,1,3,1,11,7,504
10,0,1,3,0,10,26,1,3,1,13,7,505
10,0,0,2,0,6,21,1,3,1,11,7,506
11,1,1,2,0,6,13,1,3,1,10,6,507
13,0,1,3,0,23,43,1,3,1,11,7,509
10,1,0,2,0,26,62,1,3,1,10,6,511
11,0,0,2,0,15,49,1,3,1,10,6,512
11,1,1,2,0,6,15,1,3,1,12,7,513
11,1,1,2,0,6,15,1,3,1,12,7,514
9,1,0,6,0,34,151,1,3,1,9,5,515
13,1,0,4,0,5,14,1,3,1,12,6,516
10,1,0,2,0,5,16,1,3,1,8,3,517
10,0,0,3,0,15,33,1,3,1,10,6,520
9,0,0,3,0,38,142,1,3,1,9,5,523
9,0,0,2,0,23,116,1,3,1,10,5,524
7,0,0,3,0,33,85,1,3,1,11,6,527
10,1,0,2,0,6,33,1,3,1,9,5,529
9,0,0,2,0,1,28,1,3,1,10,6,530
12,0,0,3,0,12,42,1,3,1,10,5,531
12,0,0,3,0,12,42,1,3,1,10,5,532
10,0,0,2,0,15,33,1,3,1,13,6,533
10,0,0,3,0,13,32,1,3,1,10,6,534
9,0,0,2,0,1,28,1,3,1,10,6,535
10,1,0,2,0,6,33,1,3,1,9,5,536
8,1,0,2,0,5,13,1,3,1,11,6,537
13,0,0,6,0,5,35,1,3,1,12,7,538
11,1,1,5,0,5,17,1,3,1,11,5,539
9,1,0,3,0,20,47,1,3,1,10,5,540
10,0,0,6,0,5,17,1,3,1,11,6,541
9,1,0,2,0,5,20,1,3,1,10,5,542
11,1,0,3,0,16,53,1,3,1,11,6,543
14,0,1,2,0,6,15,1,3,1,8,6,544
9,0,0,3,0,38,106,1,3,1,9,5,545
8,1,0,2,0,10,28,1,3,1,10,6,546
11,0,0,3,0,6,21,1,3,1,11,6,547
12,0,0,3,0,27,69,1,3,1,10,6,548
7,1,0,2,0,9,25,1,3,1,10,6,550
9,0,0,3,0,14,45,1,3,1,10,6,551
10,0,0,3,0,14,44,1,3,1,10,6,552
5,1,0,2,0,32,96,1,4,1,12,5,553
16,1,0,4,0,10,23,1,3,1,11,5,554
11,1,0,5,0,10,17,1,3,1,12,6,556
16,1,0,4,0,10,23,1,3,1,11,5,557
13,0,0,4,0,6,47,1,3,1,13,6,559
13,1,0,3,0,5,19,1,3,1,11,5,560
9,1,0,3,0,41,110,1,3,1,9,5,562
8,0,0,3,0,25,60,1,3,1,10,6,563
13,0,0,4,0,6,47,1,3,1,13,6,564
13,1,0,3,0,5,19,1,3,1,11,5,565
9,1,0,3,0,5,15,1,3,1,9,6,567
10,1,0,3,0,5,20,1,3,1,11,6,568
6,0,0,2,0,19,42,1,4,1,12,6,569
12,0,0,3,0,10,37,1,3,1,11,6,570
10,0,0,2,0,10,28,1,3,1,10,5,572
10,1,0,2,0,6,14,1,3,1,10,4,576
9,0,0,3,0,18,111,1,3,1,10,5,577
9,0,0,3,0,17,110,1,3,1,10,5,578
11,0,0,2,0,18,40,1,3,1,10,6,579
12,1,0,2,0,5,14,1,3,0,10,5,580
12,1,0,2,0,5,14,1,3,0,10,5,581
12,0,0,2,0,10,21,1,3,1,10,7,583
7,1,0,2,0,18,102,1,3,1,9,5,587
5,0,0,2,0,19,50,1,4,1,14,8,588
9,0,0,3,0,21,75,1,3,1,10,5,590
7,0,0,2,0,23,149,1,3,1,12,6,591
9,0,0,3,0,21,75,1,3,1,10,5,592
10,0,1,4,0,9,43,1,3,1,9,5,593
9,1,0,8,0,30,109,1,3,1,9,5,595
12,0,1,2,0,6,24,1,3,1,9,6,596
9,1,0,2,0,5,30,1,3,0,10,6,598
8,1,0,3,0,6,14,1,3,1,9,5,602
8,1,0,3,0,14,63,1,3,1,9,6,604
9,0,0,3,0,26,52,1,3,1,11,6,607
10,1,0,5,0,11,65,1,3,1,10,6,608
6,0,0,3,0,15,39,1,4,1,13,6,609
9,0,1,3,0,25,57,1,3,1,9,5,610
13,0,1,3,0,5,16,1,3,1,9,5,611
8,1,0,2,0,18,29,1,3,1,10,6,612
10,1,1,2,0,28,71,1,4,1,10,5,616
12,0,1,2,0,14,28,1,3,1,10,6,617
11,0,0,2,0,6,16,1,3,1,9,5,619
8,1,0,3,0,16,112,1,3,1,9,5,620
8,1,0,3,0,14,104,1,3,1,9,5,621
10,1,0,2,0,9,32,1,3,1,10,5,622
7,1,0,6,0,21,58,1,3,1,10,5,625
9,1,0,2,0,5,15,1,3,0,9,5,626
9,1,0,2,0,5,15,1,3,0,9,5,627
9,1,0,3,0,7,31,1,3,1,9,6,628
8,1,0,2,0,20,84,1,3,1,9,5,629
9,1,0,3,0,7,31,1,3,1,9,6,630
10,0,1,3,0,5,19,1,3,1,10,5,631
8,0,0,3,0,21,43,1,3,1,11,6,632
10,1,0,3,0,11,86,1,3,1,11,4,633
8,0,0,2,0,46,102,1,3,1,10,5,634
9,1,0,1,0,24,33,1,3,1,10,5,635
10,1,0,2,0,30,147,1,3,1,9,5,636
10,1,0,2,0,31,145,1,3,1,9,5,637
9,0,0,2,0,25,57,1,3,1,10,6,639
10,1,0,2,0,16,40,1,3,1,9,5,640
10,1,0,2,0,16,40,1,3,1,9,5,642
10,1,0,2,0,16,40,1,3,1,9,5,644
8,1,0,2,0,5,14,1,3,1,11,4,647
9,0,0,3,0,10,28,1,3,1,11,7,648
7,0,0,9,0,24,148,1,3,1,11,6,649
11,0,0,2,0,8,32,1,3,1,10,5,650
16,0,1,8,0,22,71,1,3,1,15,5,652
9,0,1,3,0,9,30,1,3,1,12,6,653
9,0,0,2,0,7,29,1,3,0,10,5,654
10,1,0,3,0,20,53,1,3,1,9,5,655
11,0,0,2,0,8,32,1,3,1,10,5,656
12,1,1,1,0,23,42,1,3,1,11,7,657
7,1,0,1,0,5,20,1,3,1,10,6,658
7,1,0,1,0,5,20,1,3,1,10,6,660
8,0,0,2,0,15,42,1,3,1,9,5,661
7,1,0,2,0,9,27,1,3,1,10,6,662
9,1,0,2,0,25,48,1,3,1,10,5,665
8,0,0,2,0,6,16,1,3,1,10,6,666
11,0,0,2,0,6,15,1,3,1,9,6,667
11,0,0,2,0,6,15,1,3,1,9,6,669
8,1,0,2,0,5,13,1,3,1,10,5,671
8,1,0,2,0,5,13,1,3,1,10,5,673
11,0,0,2,0,7,17,1,3,1,9,6,676
9,1,0,2,0,12,31,1,3,0,10,5,677
8,1,0,3,0,45,87,1,3,1,10,5,678
11,0,0,3,0,20,49,1,3,1,10,5,679
8,0,0,2,0,16,29,1,3,0,10,6,681
9,0,0,2,0,32,58,1,3,1,10,5,682
8,1,0,3,0,5,15,1,3,1,11,5,683
10,1,0,2,0,35,152,1,3,0,9,5,684
8,1,0,3,0,5,15,1,3,1,11,5,685
8,1,0,2,0,4,9,1,3,0,9,5,688
8,0,0,2,0,5,17,1,3,1,9,5,689
9,1,0,3,0,12,93,1,3,1,10,5,691
9,0,1,2,0,16,62,1,3,1,9,5,692
9,0,0,3,0,21,122,1,3,1,9,5,693
9,0,0,3,0,24,125,1,3,1,9,5,694
5,0,0,1,0,18,44,1,4,1,13,6,695
7,1,0,2,0,8,25,1,3,1,10,6,697
9,1,0,3,0,18,72,1,3,1,10,5,698
12,0,1,2,0,5,19,1,3,1,11,6,699
11,1,0,3,0,26,88,1,3,1,10,6,700
7,1,0,2,0,8,25,1,3,1,10,6,701
7,1,0,2,0,9,23,1,3,1,9,6,702
8,0,0,3,0,22,84,1,3,1,10,4,703
9,1,0,2,0,4,14,1,3,1,10,4,704
8,1,0,6,0,11,54,1,3,0,10,5,705
7,1,0,2,0,10,19,1,3,0,10,5,706
7,0,0,3,0,16,37,1,3,1,11,5,707
8,1,0,3,0,11,35,1,3,1,12,6,708
11,1,0,3,0,21,84,1,3,1,10,5,710
9,1,0,3,0,16,112,1,3,1,10,5,711
10,1,0,3,0,21,77,1,3,1,10,5,714
8,0,0,3,0,12,49,1,3,1,10,5,717
8,1,0,2,0,10,22,1,3,0,10,5,718
7,1,0,4,0,17,45,1,3,1,10,5,719
8,1,0,2,0,10,22,1,3,0,10,5,720
9,0,0,3,0,35,106,1,3,1,9,5,721
7,0,0,2,0,36,127,1,3,2,10,5,723
9,1,0,3,0,5,13,1,3,1,10,5,725
8,1,0,3,0,18,49,1,3,1,11,6,726
6,1,0,2,0,4,11,1,3,1,10,5,727
6,1,0,2,0,4,11,1,3,1,10,5,728
6,1,0,3,0,27,58,1,4,0,13,6,729
10,1,1,2,0,12,37,1,3,1,10,5,730
9,1,0,3,0,4,14,1,3,1,12,5,731
7,1,0,2,0,10,19,1,3,0,10,5,732
7,0,0,3,0,16,72,1,4,1,10,5,733
8,1,0,2,0,9,39,1,3,1,9,5,734
8,1,0,2,0,11,22,1,3,1,10,5,736
8,1,0,3,0,19,58,1,4,1,9,6,737
9,1,0,2,0,19,38,1,3,1,9,5,739
8,1,0,4,0,12,16,1,3,1,12,6,740
9,1,0,3,0,28,139,1,3,1,10,5,741
11,0,1,3,0,21,101,1,3,1,10,5,744
7,1,0,2,0,12,28,1,4,1,10,6,745
